"date_id","time_period","bananas_consumed","crowd_level"
20240926,"Morning",1,"Low"
20240926,"Afternoon",1,"High"
20240926,"Evening",1,"Medium"
20240926,"Late Night",3,"High"
20240927,"Morning",2,"Low"
20240927,"Afternoon",2,"High"
20240927,"Evening",2,"Medium"
20240927,"Late Night",3,"High"
20240928,"Morning",4,"Low"
20240928,"Afternoon",3,"Medium"
20240928,"Evening",3,"Medium"
20240928,"Late Night",3,"High"
20240929,"Morning",4,"Low"
20240929,"Afternoon",3,"Medium"
20240929,"Evening",3,"Medium"
20240929,"Late Night",3,"High"
20240930,"Morning",2,"Low"
20240930,"Afternoon",2,"High"
20240930,"Evening",2,"Medium"
20240930,"Late Night",3,"High"
20241001,"Morning",2,"Low"
20241001,"Afternoon",2,"High"
20241001,"Evening",2,"Medium"
20241001,"Late Night",3,"High"
20241002,"Morning",1,"Low"
20241002,"Afternoon",1,"High"
20241002,"Evening",1,"Medium"
20241002,"Late Night",3,"High"
20241003,"Morning",1,"Low"
20241003,"Afternoon",1,"High"
20241003,"Evening",1,"Medium"
20241003,"Late Night",3,"High"
20241004,"Morning",2,"Low"
20241004,"Afternoon",2,"High"
20241004,"Evening",2,"Medium"
20241004,"Late Night",3,"High"
20241005,"Morning",4,"Low"
20241005,"Afternoon",3,"Medium"
20241005,"Evening",3,"Medium"
20241005,"Late Night",3,"High"
20241006,"Morning",4,"Low"
20241006,"Afternoon",3,"Medium"
20241006,"Evening",3,"Medium"
20241006,"Late Night",3,"High"
20241007,"Morning",2,"Low"
20241007,"Afternoon",2,"High"
20241007,"Evening",2,"Medium"
20241007,"Late Night",3,"High"
20241008,"Morning",2,"Low"
20241008,"Afternoon",2,"High"
20241008,"Evening",2,"Medium"
20241008,"Late Night",3,"High"
20241009,"Morning",1,"Low"
20241009,"Afternoon",1,"High"
20241009,"Evening",1,"Medium"
20241009,"Late Night",3,"High"
20241010,"Morning",1,"Low"
20241010,"Afternoon",1,"High"
20241010,"Evening",1,"Medium"
20241010,"Late Night",3,"High"
20241011,"Morning",2,"Low"
20241011,"Afternoon",2,"High"
20241011,"Evening",2,"Medium"
20241011,"Late Night",3,"High"
20241012,"Morning",4,"Low"
20241012,"Afternoon",3,"Medium"
20241012,"Evening",3,"Medium"
20241012,"Late Night",3,"High"
20241013,"Morning",4,"Low"
20241013,"Afternoon",3,"Medium"
20241013,"Evening",3,"Medium"
20241013,"Late Night",3,"High"
20241014,"Morning",2,"Low"
20241014,"Afternoon",2,"High"
20241014,"Evening",2,"Medium"
20241014,"Late Night",3,"High"
20241015,"Morning",2,"Low"
20241015,"Afternoon",2,"High"
20241015,"Evening",2,"Medium"
20241015,"Late Night",3,"High"
20241016,"Morning",1,"Low"
20241016,"Afternoon",1,"High"
20241016,"Evening",1,"Medium"
20241016,"Late Night",3,"High"
20241017,"Morning",1,"Low"
20241017,"Afternoon",1,"High"
20241017,"Evening",1,"Medium"
20241017,"Late Night",3,"High"
20241018,"Morning",2,"Low"
20241018,"Afternoon",2,"High"
20241018,"Evening",2,"Medium"
20241018,"Late Night",3,"High"
20241019,"Morning",4,"Low"
20241019,"Afternoon",3,"Medium"
20241019,"Evening",3,"Medium"
20241019,"Late Night",3,"High"
20241020,"Morning",4,"Low"
20241020,"Afternoon",3,"Medium"
20241020,"Evening",3,"Medium"
20241020,"Late Night",3,"High"
20241021,"Morning",2,"Low"
20241021,"Afternoon",2,"High"
20241021,"Evening",2,"Medium"
20241021,"Late Night",3,"High"
20241022,"Morning",2,"Low"
20241022,"Afternoon",2,"High"
20241022,"Evening",2,"Medium"
20241022,"Late Night",3,"High"
20241023,"Morning",1,"Low"
20241023,"Afternoon",1,"High"
20241023,"Evening",1,"Medium"
20241023,"Late Night",3,"High"
20241024,"Morning",1,"Low"
20241024,"Afternoon",1,"High"
20241024,"Evening",1,"Medium"
20241024,"Late Night",3,"High"
20241025,"Morning",2,"Low"
20241025,"Afternoon",2,"High"
20241025,"Evening",2,"Medium"
20241025,"Late Night",3,"High"
20241026,"Morning",4,"Low"
20241026,"Afternoon",3,"Medium"
20241026,"Evening",3,"Medium"
20241026,"Late Night",3,"High"
20241027,"Morning",4,"Low"
20241027,"Afternoon",3,"Medium"
20241027,"Evening",3,"Medium"
20241027,"Late Night",3,"High"
20241028,"Morning",2,"Low"
20241028,"Afternoon",2,"High"
20241028,"Evening",2,"Medium"
20241028,"Late Night",3,"High"
20241029,"Morning",2,"Low"
20241029,"Afternoon",2,"High"
20241029,"Evening",2,"Medium"
20241029,"Late Night",3,"High"
20241030,"Morning",1,"Low"
20241030,"Afternoon",1,"High"
20241030,"Evening",1,"Medium"
20241030,"Late Night",3,"High"
20241031,"Morning",1,"Low"
20241031,"Afternoon",1,"High"
20241031,"Evening",1,"Medium"
20241031,"Late Night",3,"High"
20241101,"Morning",2,"Low"
20241101,"Afternoon",2,"High"
20241101,"Evening",2,"Medium"
20241101,"Late Night",3,"High"
20241102,"Morning",4,"Low"
20241102,"Afternoon",3,"Medium"
20241102,"Evening",3,"Medium"
20241102,"Late Night",3,"High"
20241103,"Morning",4,"Low"
20241103,"Afternoon",3,"Medium"
20241103,"Evening",3,"Medium"
20241103,"Late Night",3,"High"
20241104,"Morning",2,"Low"
20241104,"Afternoon",2,"High"
20241104,"Evening",2,"Medium"
20241104,"Late Night",3,"High"
20241105,"Morning",2,"Low"
20241105,"Afternoon",2,"High"
20241105,"Evening",2,"Medium"
20241105,"Late Night",3,"High"
20241106,"Morning",1,"Low"
20241106,"Afternoon",1,"High"
20241106,"Evening",1,"Medium"
20241106,"Late Night",3,"High"
20241107,"Morning",1,"Low"
20241107,"Afternoon",1,"High"
20241107,"Evening",1,"Medium"
20241107,"Late Night",3,"High"
20241108,"Morning",2,"Low"
20241108,"Afternoon",2,"High"
20241108,"Evening",2,"Medium"
20241108,"Late Night",3,"High"
